CODE,NAME,PROV,CITY,MUN,BGY
1300000000,National Capital Region (NCR), -   ,16,1,"1,715"
1380100000,City of Caloocan, -   ,1, -   ,193
1380200000,City of Las Piñas, -   ,1, -   ,20
1380300000,City of Makati, -   ,1, -   ,23
1380400000,City of Malabon, -   ,1, -   ,21
1380500000,City of Mandaluyong, -   ,1, -   ,27
1380600000,City of Manila, -   ,1, -   ,897
1380700000,City of Marikina, -   ,1, -   ,16
1380800000,City of Muntinlupa, -   ,1, -   ,9
1380900000,City of Navotas, -   ,1, -   ,18
1381000000,City of Parañaque, -   ,1, -   ,16
1381100000,Pasay City, -   ,1, -   ,201
1381200000,City of Pasig, -   ,1, -   ,30
1381300000,Quezon City, -   ,1, -   ,142
1381400000,City of San Juan, -   ,1, -   ,21
1381500000,City of Taguig, -   ,1, -   ,38
1381600000,City of Valenzuela, -   ,1, -   ,33
1381701000,Pateros, -   , -   ,1,10
1400000000,Cordillera Administrative Region  (CAR),6,2,75,"1,178"
1400100000,Abra,1, -   ,27,303
1408100000,Apayao,1, -   ,7,133
1401100000,Benguet,1, -   ,13,140
1402700000,Ifugao,1, -   ,11,176
1403200000,Kalinga,1,1,7,153
1404400000,Mountain Province,1, -   ,10,144
1430300000,City of Baguio, -   ,1, -   ,129
0100000000,Region I  (Ilocos Region),4,9,116,"3,267"
0102800000,Ilocos Norte,1,2,21,559
0102900000,Ilocos Sur,1,2,32,768
0103300000,La Union,1,1,19,576
0105500000,Pangasinan,1,4,44,"1,364"
0200000000,Region II (Cagayan Valley),5,4,89,"2,311"
0200900000,Batanes,1, -   ,6,29
0201500000,Cagayan,1,1,28,820
0203100000,Isabela,1,3,34,"1,055"
0205000000,Nueva Vizcaya,1, -   ,15,275
0205700000,Quirino,1, -   ,6,132
0300000000,Region III (Central Luzon),7,15,115,"3,105"
0307700000,Aurora,1, -   ,8,151
0300800000,Bataan,1,1,11,237
0301400000,Bulacan,1,4,20,572
0304900000,Nueva Ecija,1,5,27,849
0305400000,Pampanga,1,2,19,505
0306900000,Tarlac,1,1,17,511
0307100000,Zambales,1, -   ,13,230
0330100000,City of Angeles, -   ,1, -   ,33
0331400000,City of Olongapo, -   ,1, -   ,17
0400000000,Region IV-A  (CALABARZON),5,22,120,"3,993"
0401000000,Batangas,1,5,29,"1,078"
0402100000,Cavite,1,8,15,803
0403400000,Laguna,1,6,24,681
0405600000,Quezon,1,1,39,"1,209"
0405800000,Rizal,1,1,13,189
0431200000,City of Lucena, -   ,1, -   ,33
1700000000,Region IV-B (MIMAROPA),5,2,71,"1,460"
1704000000,Marinduque,1, -   ,6,218
1705100000,Occidental Mindoro,1, -   ,11,164
1705200000,Oriental Mindoro,1,1,14,426
1705300000,Palawan,1, -   ,23,367
1705900000,Romblon,1, -   ,17,219
1731500000,City of Puerto Princesa, -   ,1, -   ,66
0500000000,Region V  (Bicol Region),6,7,107,"3,471"
0500500000,Albay,1,3,15,720
0501600000,Camarines Norte,1, -   ,12,282
0501700000,Camarines Sur,1,2,35,"1,063"
0502000000,Catanduanes,1, -   ,11,315
0504100000,Masbate,1,1,20,550
0506200000,Sorsogon,1,1,14,541
0600000000,Region VI  (Western Visayas),5,3,98,"3,389"
0600400000,Aklan,1, -   ,17,327
0600600000,Antique,1, -   ,18,590
0601900000,Capiz,1,1,16,473
0607900000,Guimaras,1, -   ,5,98
0603000000,Iloilo,1,1,42,"1,721"
0631000000,City of Iloilo, -   ,1, -   ,180
1800000000,Negros Island Region (NIR),3,19,44,"1,353"
1804500000,Negros Occidental,1,12,19,601
1804600000,Negros Oriental,1,6,19,557
1806100000,Siquijor,1, -   ,6,134
1830200000,City of Bacolod, -   ,1, -   ,61
0700000000,Region VII  (Central Visayas),2,10,91,"2,312"
0701200000,Bohol,1,1,47,"1,109"
0702200000,Cebu,1,6,44,"1,066"
0730600000,City of Cebu, -   ,1, -   ,80
0731100000,City of Lapu-Lapu, -   ,1, -   ,30
0731300000,City of Mandaue, -   ,1, -   ,27
0800000000,Region VIII  (Eastern Visayas),6,7,136,"4,365"
0807800000,Biliran,1, -   ,8,132
0802600000,Eastern Samar,1,1,22,597
0803700000,Leyte,1,2,40,"1,478"
0804800000,Northern Samar,1, -   ,24,569
0806000000,Samar,1,2,24,951
0806400000,Southern Leyte,1,1,18,500
0831600000,City of Tacloban, -   ,1, -   ,138
0900000000,Region IX  (Zamboanga Peninsula),4,5,86,"2,314"
0906600000,Sulu,1, -   ,19,410
0907200000,Zamboanga del Norte,1,2,25,691
0907300000,Zamboanga del Sur,1,1,26,681
0908300000,Zamboanga Sibugay,1, -   ,16,389
0990101000 ,City of Isabela*, -   ,1, -   ,45
0931700000,City of Zamboanga, -   ,1, -   ,98
1000000000,Region X  (Northern Mindanao),5,9,84,"2,022"
1001300000,Bukidnon,1,2,20,464
1001800000,Camiguin,1, -   ,5,58
1003500000,Lanao del Norte,1, -   ,22,462
1004200000,Misamis Occidental,1,3,14,490
1004300000,Misamis Oriental,1,2,23,424
1030500000,City of Cagayan de Oro, -   ,1, -   ,80
1030900000,City of Iligan, -   ,1, -   ,44
1100000000,Region XI (Davao Region),5,6,43,"1,162"
1108200000,Davao de Oro,1, -   ,11,237
1102300000,Davao del Norte,1,3,8,223
1102400000,Davao del Sur,1,1,9,232
1108600000,Davao Occidental,1, -   ,5,105
1102500000,Davao Oriental,1,1,10,183
1130700000,City of Davao, -   ,1, -   ,182
1200000000,Region XII (SOCCSKSARGEN),4,4,45,"1,097"
1204700000,Cotabato,1,1,17,480
1208000000,Sarangani,1, -   ,7,142
1206300000,South Cotabato,1,1,10,200
1206500000,Sultan Kudarat,1,1,11,249
1230800000,City of General Santos, -   ,1, -   ,26
1600000000,Region XIII (Caraga),5,6,67,"1,312"
1600200000,Agusan del Norte,1,1,10,167
1600300000,Agusan del Sur,1,1,13,314
1608500000,Dinagat Islands,1, -   ,7,100
1606700000,Surigao del Norte,1,1,20,335
1606800000,Surigao del Sur,1,2,17,310
1630400000,City of Butuan, -   ,1, -   ,86
1900000000,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),5,3,105,"2,185"
1900700000,Basilan,1,1,11,210
1903600000,Lanao del Sur,1,1,39,"1,164"
1908700000,Maguindanao del Norte,1,1,12,258
1908800000,Maguindanao del Sur,1, -   ,24,287
1907000000,Tawi-Tawi,1, -   ,11,203
1999900000,Special Geographic Area**, -   , -   ,8,63
